drg_number,drg_name,avg tot chgs
MS766,CESAREAN SECTION W/O CC/MCC,21902.9
MS767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,18570
MS768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,18048.03
MS769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,27187.23
MS774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,15989.92
MS775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,13746.57
MS776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,11686.96
MS781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,16957.27
MS786,CESAREAN SECTION W/O STERILIZATION W MCC,29886.05
MS787,CESAREAN SECTION W/O STERILIZATION W CC,22687.8
MS788,CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,21627.89
MS789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY",101560.63
MS790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE",367762.27
MS791,PREMATURITY W MAJOR PROBLEMS,75776.2
MS792,PREMATURITY W/O MAJOR PROBLEMS,19427.99
MS793,FULL TERM NEONATE W MAJOR PROBLEMS,21822.08
MS794,NEONATE W OTHER SIGNIFICANT PROBLEMS,4050.3
MS795,NORMAL NEWBORN,2599.95
MS805,VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC,19841.53
MS806,VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,15378.81
MS807,VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,14637.06
MS808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,113890.85
MS809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,48649.13
MS811,RED BLOOD CELL DISORDERS W MCC,34852.71
MS812,RED BLOOD CELL DISORDERS W/O MCC,26208.42
MS813,COAGULATION DISORDERS,41620.52
MS820,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,206214.69
MS821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC,57000.95
MS822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,36981.41
MS823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,219355.65
MS824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,82595.1
MS827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,69155.84
MS828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,49336.57
MS829,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W CC/MCC,145707.31
MS832,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,8510.44
MS833,OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC,8632.57
MS834,ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,233092.6
MS837,CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,160404.64
MS838,CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,88564.95
MS839,CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,24176.28
MS840,LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,106438.46
MS841,LYMPHOMA & NON-ACUTE LEUKEMIA W CC,52993.33
MS843,OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG W MCC,54910.91
MS846,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,69047.96
MS847,CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W CC,34309.32
MS853,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,156119.92
MS854,INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,64926.46
MS856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,116197.44
MS857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,51511.87
MS862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,42442.48
MS863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,23377.44
MS864,FEVER AND INFLAMMATORY CONDITIONS,22097.07
MS866,VIRAL ILLNESS W/O MCC,26122.78
MS870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),161757.83
MS871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,56587.79
MS872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,28184.98
MS876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,42423.6
MS880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,18954.25
MS881,DEPRESSIVE NEUROSES,17807.27
MS882,NEUROSES EXCEPT DEPRESSIVE,20260.98
MS883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,27208.31
MS884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,37773.98
MS885,PSYCHOSES,34660.34
MS886,BEHAVIORAL & DEVELOPMENTAL DISORDERS,17778.81
MS896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,38296.87
MS897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,16941.47
MS902,WOUND DEBRIDEMENTS FOR INJURIES W CC,57343.53
MS906,HAND PROCEDURES FOR INJURIES,47210.88
MS907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,183241.43
MS908,OTHER O.R. PROCEDURES FOR INJURIES W CC,56561.97
MS909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,31974.56
MS916,ALLERGIC REACTIONS W/O MCC,14934.26
MS917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,32426.63
MS918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,15661.39
MS919,COMPLICATIONS OF TREATMENT W MCC,52388.33
MS920,COMPLICATIONS OF TREATMENT W CC,27129.38
MS921,COMPLICATIONS OF TREATMENT W/O CC/MCC,11613.23
MS940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,54361.63
MS941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,51673.47
MS947,SIGNS & SYMPTOMS W MCC,33626.44
MS948,SIGNS & SYMPTOMS W/O MCC,23292.21
MS949,AFTERCARE W CC/MCC,44548.94
MS951,OTHER FACTORS INFLUENCING HEALTH STATUS,6877.15
MS956,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA",124825.93
MS957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,155119.87
MS958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,90518.42
MS963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,91405.73
MS964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,36145.86
MS981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,140183.97
MS982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,69288.85
MS983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,31619.96
MS987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,176174.04
MS988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,55702.5
MS989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,47914.43
